date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:12	196/196	---M-Z	200	added ('OK')	text/plain	date:Wed,%2018%20Dec%202013%2022:51:36%20GMT	http://www.theteafactory.ca/robots.txt		(from )
14:56:12	23888/23888	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2020:56:17%20GMT	http://www.theteafactory.ca/	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/index.html	(from )
14:56:12	2920/2920	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202013%2021:51:43%20GMT	http://www.theteafactory.ca/wp-content/themes/theteafactory/library/images/apple-icon-touch.png	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/themes/theteafactory/library/images/apple-icon-touch.png	(from http://www.theteafactory.ca/)
14:56:12	466/466	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Oct%202013%2014:27:19%20GMT	http://www.theteafactory.ca/wp-content/themes/theteafactory/favicon.png	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/themes/theteafactory/favicon.png	(from http://www.theteafactory.ca/)
14:56:13	42/42	---M-Z	200	added ('OK')	text/plain	date:Fri,%2031%20Jan%202014%2020:56:18%20GMT	http://www.theteafactory.ca/xmlrpc.php	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/xmlrpc.php	(from http://www.theteafactory.ca/)
14:56:13	136555/136555	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202013%2015:29:16%20GMT	http://www.theteafactory.ca/wp-content/themes/theteafactory/library/css/style.css	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/themes/theteafactory/library/css/style.css	(from http://www.theteafactory.ca/)
14:56:14	23356/23356	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2031%20Jan%202014%2020:56:08%20GMT	http://use.typekit.net/cdn8fet.js	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/use.typekit.net/cdn8fet.js	(from http://www.theteafactory.ca/)
14:56:14	1528/1528	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Sep%202013%2016:14:14%20GMT	http://www.theteafactory.ca/wp-content/themes/theteafactory/library/images/logo.svgz	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/themes/theteafactory/library/images/logo.svg	(from http://www.theteafactory.ca/)
14:56:14	2907/2907	---M-Z	200	added ('OK')	text/xml	date:Fri,%2008%20Nov%202013%2021:07:39%20GMT	http://www.theteafactory.ca/feed/	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/feed/index.html	(from http://www.theteafactory.ca/)
14:56:14	711/711	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://www.theteafactory.ca/we-are-calgarys-premium-tea-house/feed/	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/we-are-calgarys-premium-tea-house/feed/index.html	(from http://www.theteafactory.ca/)
